@relation QSAR-Dataset-from-ChEMBL17-for-Drug-Target-with-ChEMBL_ID:CHEMBL240-weka.filters.unsupervised.attribute.Remove-R1

@attribute AMW numeric
@attribute C. numeric
@attribute H. numeric
@attribute Me numeric
@attribute Mi numeric
@attribute Mp numeric
@attribute Mv numeric
@attribute MW numeric
@attribute N. numeric
@attribute nAB numeric
@attribute nAT numeric
@attribute nB numeric
@attribute nBM numeric
@attribute nBO numeric
@attribute nBR numeric
@attribute nBT numeric
@attribute nC numeric
@attribute nCL numeric
@attribute nCsp numeric
@attribute nCsp2 numeric
@attribute nCsp3 numeric
@attribute nDB numeric
@attribute nF numeric
@attribute nH numeric
@attribute nHet numeric
@attribute nHM numeric
@attribute nI numeric
@attribute nN numeric
@attribute nO numeric
@attribute nP numeric
@attribute nS numeric
@attribute nSK numeric
@attribute nTB numeric
@attribute nX numeric
@attribute O. numeric
@attribute RBF numeric
@attribute RBN numeric
@attribute SCBO numeric
@attribute Se numeric
@attribute Si numeric
@attribute Sp numeric
@attribute Sv numeric
@attribute X. numeric
@attribute pXC50 numeric

@data
7.665, 39.1, 45.3, 1.02, 1.148, 0.638, 0.621, 490.58, 6.3, 12, 64, 0.0, 14, 38, 0.0, 67, 25, 0.0, 0.0, 13, 12, 2, 3, 29, 10, 0.0, 0.0, 4, 3, 0.0, 0.0, 35, 0.0, 3, 4.7, 0.104, 7, 46, 65.298, 73.453, 40.858, 39.755, 4.7, 5.208
7.823, 39, 44.1, 1.022, 1.151, 0.642, 0.627, 461.54, 8.5, 12, 59, 0.0, 14, 36, 0.0, 62, 23, 0.0, 0.0, 12, 11, 2, 3, 26, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 33, 0.0, 3, 3.4, 0.097, 6, 44, 60.305, 67.912, 37.887, 37.008, 5.1, 4.921
7.532, 37.3, 46.3, 1.018, 1.153, 0.633, 0.613, 504.62, 9, 12, 67, 0.0, 14, 39, 0.0, 70, 25, 0.0, 0.0, 12, 13, 2, 3, 31, 11, 0.0, 0.0, 6, 2, 0.0, 0.0, 36, 0.0, 3, 3, 0.1, 7, 47, 68.174, 77.241, 42.415, 41.083, 4.5, 5.009
7.812, 39.3, 44.3, 1.023, 1.148, 0.641, 0.627, 476.55, 6.6, 12, 61, 0.0, 14, 37, 0.0, 64, 24, 0.0, 0.0, 13, 11, 2, 3, 27, 10, 0.0, 0.0, 4, 3, 0.0, 0.0, 34, 0.0, 3, 4.9, 0.094, 6, 45, 62.414, 70.038, 39.097, 38.228, 4.9, 5
7.812, 39.3, 44.3, 1.023, 1.148, 0.641, 0.627, 476.55, 6.6, 12, 61, 0.0, 14, 37, 0.0, 64, 24, 0.0, 0.0, 13, 11, 2, 3, 27, 10, 0.0, 0.0, 4, 3, 0.0, 0.0, 34, 0.0, 3, 4.9, 0.094, 6, 45, 62.414, 70.038, 39.097, 38.228, 4.9, 4.638
7.67, 38.7, 45.2, 1.019, 1.15, 0.639, 0.622, 475.57, 8.1, 12, 62, 0.0, 14, 37, 0.0, 65, 24, 0.0, 0.0, 13, 11, 2, 3, 28, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 34, 0.0, 3, 3.2, 0.092, 6, 45, 63.189, 71.327, 39.648, 38.535, 4.8, 4.357
7.67, 38.7, 45.2, 1.019, 1.15, 0.639, 0.622, 475.57, 8.1, 12, 62, 0.0, 14, 37, 0.0, 65, 24, 0.0, 0.0, 13, 11, 2, 3, 28, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 34, 0.0, 3, 3.2, 0.092, 6, 45, 63.189, 71.327, 39.648, 38.535, 4.8, 4.432
7.67, 40.3, 45.2, 1.019, 1.144, 0.643, 0.625, 475.56, 4.8, 12, 62, 0.0, 14, 37, 0.0, 65, 25, 0.0, 0.0, 14, 11, 2, 3, 28, 9, 0.0, 0.0, 3, 3, 0.0, 0.0, 34, 0.0, 3, 4.8, 0.092, 6, 45, 63.196, 70.955, 39.853, 38.734, 4.8, 5
7.96, 40.3, 43.5, 1.028, 1.15, 0.642, 0.631, 493.55, 4.8, 12, 62, 0.0, 14, 38, 0.0, 65, 25, 0.0, 0.0, 14, 11, 2, 4, 27, 10, 0.0, 0.0, 3, 3, 0.0, 0.0, 35, 0.0, 4, 4.8, 0.092, 6, 46, 63.709, 71.295, 39.79, 39.117, 6.5, 5.553
7.946, 41.3, 42.9, 1.022, 1.143, 0.652, 0.639, 500.57, 6.3, 12, 63, 0.0, 15, 39, 0.0, 66, 26, 0.0, 1, 14, 11, 2, 3, 27, 10, 0.0, 0.0, 4, 3, 0.0, 0.0, 36, 1, 3, 4.8, 0.091, 6, 49, 64.414, 72.038, 41.097, 40.228, 4.8, 5.824
7.409, 38.6, 47.1, 1.015, 1.147, 0.634, 0.612, 518.64, 5.7, 12, 70, 0.0, 14, 40, 0.0, 73, 27, 0.0, 0.0, 14, 13, 2, 3, 33, 10, 0.0, 0.0, 4, 3, 0.0, 0.0, 37, 0.0, 3, 4.3, 0.096, 7, 48, 71.065, 80.284, 44.381, 42.809, 4.3, 4.602
7.66, 39.4, 45.5, 1.021, 1.145, 0.637, 0.621, 505.59, 4.5, 12, 66, 0.0, 14, 39, 0.0, 69, 26, 0.0, 0.0, 14, 12, 2, 3, 30, 10, 0.0, 0.0, 3, 4, 0.0, 0.0, 36, 0.0, 3, 6.1, 0.101, 7, 47, 67.407, 75.58, 42.069, 40.975, 4.5, 5.051
7.993, 40, 43.1, 1.028, 1.144, 0.642, 0.633, 519.57, 4.6, 12, 65, 0.0, 14, 41, 0.0, 69, 26, 0.0, 0.0, 14, 12, 2, 3, 28, 11, 0.0, 0.0, 3, 5, 0.0, 0.0, 37, 0.0, 3, 7.7, 0.087, 6, 49, 66.85, 74.374, 41.762, 41.163, 4.6, 4.87
7.725, 40.3, 44.8, 1.021, 1.143, 0.643, 0.626, 517.6, 4.5, 12, 67, 0.0, 14, 41, 0.0, 71, 27, 0.0, 0.0, 14, 13, 2, 3, 30, 10, 0.0, 0.0, 3, 4, 0.0, 0.0, 37, 0.0, 3, 6, 0.085, 6, 49, 68.407, 76.58, 43.069, 41.975, 4.5, 4.932
7.406, 39.7, 47.1, 1.014, 1.144, 0.638, 0.615, 503.62, 4.4, 12, 68, 0.0, 14, 39, 0.0, 71, 27, 0.0, 0.0, 14, 13, 2, 3, 32, 9, 0.0, 0.0, 3, 3, 0.0, 0.0, 36, 0.0, 3, 4.4, 0.085, 6, 47, 68.963, 77.785, 43.375, 41.787, 4.4, 5.119
7.829, 41, 44.3, 1.023, 1.149, 0.645, 0.63, 477.55, 4.9, 12, 61, 0.0, 14, 37, 0.0, 64, 25, 0.0, 0.0, 14, 11, 2, 4, 27, 9, 0.0, 0.0, 3, 2, 0.0, 0.0, 34, 0.0, 4, 3.3, 0.094, 6, 45, 62.381, 70.085, 39.336, 38.402, 6.6, 5.481
7.533, 39.7, 46, 1.015, 1.147, 0.641, 0.62, 474.58, 6.3, 12, 63, 0.0, 14, 37, 0.0, 66, 25, 0.0, 0.0, 14, 11, 2, 3, 29, 9, 0.0, 0.0, 4, 2, 0.0, 0.0, 34, 0.0, 3, 3.2, 0.091, 6, 45, 63.97, 72.244, 40.404, 39.04, 4.8, 5.208
7.991, 45.6, 42.1, 1.019, 1.132, 0.668, 0.652, 455.51, 1.8, 18, 57, 0.0, 19, 36, 0.0, 60, 26, 0.0, 0.0, 19, 7, 1, 3, 24, 7, 0.0, 0.0, 1, 3, 0.0, 0.0, 33, 0.0, 3, 5.3, 0.1, 6, 46, 58.109, 64.543, 38.08, 37.164, 5.3, 5
5.828, 34.5, 58.2, 0.984, 1.139, 0.606, 0.552, 320.53, 3.6, 6, 55, 0.0, 8, 23, 0.0, 55, 19, 0.0, 0.0, 6, 13, 2, 0.0, 32, 4, 0.0, 0.0, 2, 2, 0.0, 0.0, 23, 0.0, 0.0, 3.6, 0.236, 13, 28, 54.112, 62.643, 33.341, 30.374, 0.0, 8.33
7.413, 46.2, 44.2, 0.996, 1.117, 0.683, 0.649, 385.5, 5.8, 16, 52, 0.0, 19, 33, 0.0, 56, 24, 0.0, 0.0, 19, 5, 3, 0.0, 23, 5, 0.0, 0.0, 3, 2, 0.0, 0.0, 29, 0.0, 0.0, 3.8, 0.089, 5, 44, 51.796, 58.066, 35.54, 33.762, 0.0, 4.921
9.358, 42.3, 34.6, 1.014, 1.125, 0.738, 0.706, 243.32, 19.2, 16, 26, 0.0, 16, 19, 0.0, 28, 11, 0.0, 0.0, 11, 0.0, 0.0, 0.0, 9, 6, 1, 0.0, 5, 0.0, 0.0, 1, 17, 0.0, 0.0, 0.0, 0.107, 3, 27, 26.353, 29.242, 19.199, 18.348, 0.0, 4.481
8.979, 43.3, 36.7, 1.008, 1.122, 0.732, 0.696, 269.36, 16.7, 16, 30, 0.0, 16, 22, 0.0, 33, 13, 0.0, 0.0, 11, 2, 0.0, 0.0, 11, 6, 1, 0.0, 5, 0.0, 0.0, 1, 19, 0.0, 0.0, 0.0, 0.061, 2, 30, 30.236, 33.657, 21.96, 20.875, 0.0, 4.77
8.588, 42.4, 39.4, 1.004, 1.123, 0.719, 0.679, 283.39, 15.2, 16, 33, 0.0, 16, 23, 0.0, 36, 14, 0.0, 0.0, 11, 3, 0.0, 0.0, 13, 6, 1, 0.0, 5, 0.0, 0.0, 1, 20, 0.0, 0.0, 0.0, 0.056, 2, 31, 33.12, 37.072, 23.722, 22.401, 0.0, 4.553
8.887, 40.6, 37.5, 1.011, 1.13, 0.718, 0.684, 284.38, 18.8, 16, 32, 0.0, 16, 23, 0.0, 35, 13, 0.0, 0.0, 10, 3, 0.0, 0.0, 12, 7, 1, 0.0, 6, 0.0, 0.0, 1, 20, 0.0, 0.0, 0.0, 0.057, 2, 31, 32.338, 36.155, 22.966, 21.896, 0.0, 4.523
8.166, 38.6, 42.9, 1.038, 1.155, 0.631, 0.628, 571.6, 4.3, 12, 70, 0.0, 15, 42, 0.0, 72, 27, 0.0, 0.0, 15, 12, 3, 5, 30, 13, 0.0, 0.0, 3, 5, 0.0, 0.0, 40, 0.0, 5, 7.1, 0.153, 11, 51, 72.643, 80.884, 44.159, 43.983, 7.1, 4
7.606, 38.6, 45.6, 1.017, 1.153, 0.639, 0.619, 433.53, 8.8, 10, 57, 0.0, 12, 34, 0.0, 60, 22, 0.0, 2, 8, 12, 1, 3, 26, 9, 0.0, 0.0, 5, 1, 0.0, 0.0, 31, 1, 3, 1.8, 0.083, 5, 42, 57.978, 65.702, 36.432, 35.293, 5.3, 7.301
6.566, 35.7, 52.9, 0.999, 1.137, 0.618, 0.58, 459.65, 4.3, 6, 70, 0.0, 9, 35, 0.0, 72, 25, 0.0, 0.0, 9, 16, 3, 0.0, 37, 8, 0.0, 0.0, 3, 5, 0.0, 0.0, 33, 0.0, 0.0, 7.1, 0.125, 9, 41, 69.963, 79.6, 43.233, 40.594, 0.0, 4.046
8.363, 34.1, 46.3, 1.013, 1.137, 0.671, 0.628, 342.89, 9.8, 6, 41, 0.0, 10, 23, 0.0, 42, 14, 1, 0.0, 8, 6, 4, 0.0, 19, 8, 2, 0.0, 4, 2, 0.0, 1, 22, 0.0, 1, 4.9, 0.143, 6, 30, 41.531, 46.598, 27.529, 25.744, 2.4, 5
8.687, 40, 42.2, 1.012, 1.124, 0.701, 0.661, 390.93, 8.9, 12, 45, 0.0, 16, 28, 0.0, 47, 18, 1, 0.0, 14, 4, 4, 0.0, 19, 8, 2, 0.0, 4, 2, 0.0, 1, 26, 0.0, 1, 4.4, 0.128, 6, 38, 45.531, 50.598, 31.529, 29.744, 2.2, 5
8.363, 34.1, 46.3, 1.013, 1.137, 0.671, 0.628, 342.89, 9.8, 6, 41, 0.0, 10, 23, 0.0, 42, 14, 1, 0.0, 8, 6, 4, 0.0, 19, 8, 2, 0.0, 4, 2, 0.0, 1, 22, 0.0, 1, 4.9, 0.119, 5, 30, 41.531, 46.598, 27.529, 25.744, 2.4, 5
8.169, 34, 46.8, 1.011, 1.139, 0.666, 0.623, 383.95, 10.6, 6, 47, 0.0, 10, 27, 0.0, 49, 16, 1, 0.0, 8, 8, 4, 0.0, 22, 9, 2, 0.0, 5, 2, 0.0, 1, 25, 0.0, 1, 4.3, 0.102, 5, 34, 47.516, 53.511, 31.296, 29.292, 2.1, 5.1
7.606, 40.3, 45.2, 1.014, 1.147, 0.648, 0.626, 471.58, 8.1, 16, 62, 0.0, 17, 38, 0.0, 66, 25, 0.0, 0.0, 14, 11, 1, 3, 28, 9, 0.0, 0.0, 5, 1, 0.0, 0.0, 34, 0.0, 3, 1.6, 0.091, 6, 47, 62.861, 71.118, 40.194, 38.82, 4.8, 5.921
7.932, 40, 43.1, 1.023, 1.147, 0.648, 0.635, 515.59, 7.7, 16, 65, 0.0, 17, 42, 0.0, 70, 26, 0.0, 0.0, 14, 12, 1, 3, 28, 11, 0.0, 0.0, 5, 3, 0.0, 0.0, 37, 0.0, 3, 4.6, 0.086, 6, 51, 66.516, 74.536, 42.103, 41.25, 4.6, 5.959
7.661, 39.1, 44.9, 1.017, 1.148, 0.644, 0.624, 528.64, 8.7, 16, 69, 0.0, 18, 42, 0.0, 73, 27, 0.0, 0.0, 15, 12, 2, 3, 31, 11, 0.0, 0.0, 6, 2, 0.0, 0.0, 38, 0.0, 3, 2.9, 0.11, 8, 52, 70.174, 79.241, 44.415, 43.083, 4.3, 5.022
7.732, 38.5, 44.6, 1.02, 1.151, 0.641, 0.624, 502.6, 9.2, 16, 65, 0.0, 17, 40, 0.0, 69, 25, 0.0, 0.0, 13, 12, 1, 3, 29, 11, 0.0, 0.0, 6, 2, 0.0, 0.0, 36, 0.0, 3, 3.1, 0.101, 7, 49, 66.29, 74.825, 41.654, 40.556, 4.6, 5.602
7.789, 39.7, 44.1, 1.021, 1.146, 0.645, 0.629, 529.62, 7.4, 16, 68, 0.0, 17, 43, 0.0, 73, 27, 0.0, 0.0, 14, 13, 1, 3, 30, 11, 0.0, 0.0, 5, 3, 0.0, 0.0, 38, 0.0, 3, 4.4, 0.082, 6, 52, 69.399, 77.952, 43.864, 42.776, 4.4, 6.076
7.88, 38.7, 43.5, 1.023, 1.152, 0.643, 0.63, 488.57, 9.7, 10, 62, 0.0, 14, 39, 0.0, 66, 24, 0.0, 0.0, 13, 11, 4, 3, 27, 11, 0.0, 0.0, 6, 2, 0.0, 0.0, 35, 0.0, 3, 3.2, 0.091, 6, 48, 63.407, 71.41, 39.892, 39.029, 4.8, 4.469
7.173, 36.1, 49.2, 1.012, 1.156, 0.622, 0.596, 437.57, 8.2, 10, 61, 0.0, 11, 34, 0.0, 64, 22, 0.0, 0.0, 8, 14, 1, 3, 30, 9, 0.0, 0.0, 5, 1, 0.0, 0.0, 31, 0.0, 3, 1.6, 0.094, 6, 40, 61.745, 70.533, 37.955, 36.347, 4.9, 5.208
7.759, 37.5, 44.6, 1.021, 1.157, 0.637, 0.621, 434.52, 10.7, 10, 56, 0.0, 12, 34, 0.0, 59, 21, 0.0, 1, 8, 12, 1, 3, 25, 10, 0.0, 0.0, 6, 1, 0.0, 0.0, 31, 1, 3, 1.8, 0.085, 5, 42, 57.196, 64.786, 35.677, 34.788, 5.4, 4.62
6.925, 36.6, 50.7, 1.006, 1.152, 0.623, 0.591, 491.67, 7, 10, 71, 0.0, 11, 39, 0.0, 75, 26, 0.0, 0.0, 8, 18, 1, 3, 36, 9, 0.0, 0.0, 5, 1, 0.0, 0.0, 35, 0.0, 3, 1.4, 0.08, 6, 45, 71.396, 81.778, 44.239, 41.927, 4.2, 5.509
7.525, 35.9, 46.9, 1.022, 1.155, 0.623, 0.606, 481.58, 7.8, 10, 64, 0.0, 12, 37, 0.0, 67, 23, 0.0, 0.0, 9, 14, 2, 3, 30, 11, 0.0, 0.0, 5, 3, 0.0, 0.0, 34, 0.0, 3, 4.7, 0.119, 8, 44, 65.399, 73.952, 39.864, 38.776, 4.7, 5.097
7.819, 36.2, 44.8, 1.028, 1.157, 0.627, 0.616, 453.52, 8.6, 10, 58, 0.0, 12, 35, 0.0, 61, 21, 0.0, 0.0, 9, 12, 2, 3, 26, 11, 0.0, 0.0, 5, 3, 0.0, 0.0, 32, 0.0, 3, 5.2, 0.098, 6, 42, 59.632, 67.121, 36.341, 35.723, 5.2, 4.602
7.67, 35.6, 45.8, 1.024, 1.159, 0.625, 0.611, 452.54, 10.2, 10, 59, 0.0, 12, 35, 0.0, 62, 21, 0.0, 0.0, 9, 12, 2, 3, 27, 11, 0.0, 0.0, 6, 2, 0.0, 0.0, 32, 0.0, 3, 3.4, 0.097, 6, 42, 60.407, 68.41, 36.893, 36.029, 5.1, 4.495
7.45, 35.6, 47.5, 1.02, 1.158, 0.621, 0.602, 439.54, 8.5, 10, 59, 0.0, 11, 34, 0.0, 62, 21, 0.0, 0.0, 8, 13, 1, 3, 28, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 31, 0.0, 3, 3.4, 0.097, 6, 40, 60.189, 68.327, 36.648, 35.535, 5.1, 4.495
7.194, 35.4, 49.2, 1.015, 1.156, 0.618, 0.594, 467.6, 7.7, 10, 65, 0.0, 11, 36, 0.0, 68, 23, 0.0, 0.0, 8, 15, 1, 3, 32, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 33, 0.0, 3, 3.1, 0.118, 8, 42, 65.956, 75.157, 40.171, 38.588, 4.6, 5.252
7.267, 36.4, 48.5, 1.014, 1.154, 0.624, 0.6, 479.61, 7.6, 10, 66, 0.0, 12, 37, 0.0, 69, 24, 0.0, 0.0, 10, 14, 2, 3, 32, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 34, 0.0, 3, 3, 0.13, 9, 44, 66.956, 76.157, 41.171, 39.588, 4.5, 5.301
7.764, 35.8, 45.3, 1.027, 1.16, 0.625, 0.613, 411.48, 9.4, 10, 53, 0.0, 11, 32, 0.0, 56, 19, 0.0, 0.0, 8, 11, 1, 3, 24, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 29, 0.0, 3, 3.8, 0.089, 5, 38, 54.421, 61.497, 33.125, 32.481, 5.7, 4.523
7.45, 35.6, 47.5, 1.02, 1.158, 0.621, 0.602, 439.54, 8.5, 10, 59, 0.0, 11, 34, 0.0, 62, 21, 0.0, 0.0, 8, 13, 1, 3, 28, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 31, 0.0, 3, 3.4, 0.113, 7, 40, 60.189, 68.327, 36.648, 35.535, 5.1, 5.347
7.526, 36.7, 46.7, 1.02, 1.155, 0.627, 0.609, 451.55, 8.3, 10, 60, 0.0, 12, 35, 0.0, 63, 22, 0.0, 0.0, 10, 12, 2, 3, 28, 10, 0.0, 0.0, 5, 2, 0.0, 0.0, 32, 0.0, 3, 3.3, 0.127, 8, 42, 61.189, 69.327, 37.648, 36.535, 5, 5.131
7.602, 35.2, 46.3, 1.022, 1.163, 0.624, 0.607, 410.5, 11.1, 10, 54, 0.0, 11, 32, 0.0, 57, 19, 0.0, 0.0, 8, 11, 1, 3, 25, 10, 0.0, 0.0, 6, 1, 0.0, 0.0, 29, 0.0, 3, 1.9, 0.088, 5, 38, 55.196, 62.786, 33.677, 32.788, 5.6, 4.301
8.143, 33.3, 45, 1.03, 1.159, 0.633, 0.616, 488.6, 10, 10, 60, 0.0, 13, 36, 0.0, 63, 20, 0.0, 0.0, 8, 12, 3, 3, 27, 13, 1, 0.0, 6, 3, 0.0, 1, 33, 0.0, 3, 5, 0.111, 7, 44, 61.81, 69.54, 37.995, 36.931, 5, 4.638
8.071, 40.6, 42.2, 1.027, 1.144, 0.649, 0.64, 516.57, 6.3, 16, 64, 0.0, 17, 42, 0.0, 69, 26, 0.0, 0.0, 14, 12, 1, 3, 27, 11, 0.0, 0.0, 4, 4, 0.0, 0.0, 37, 0.0, 3, 6.3, 0.087, 6, 51, 65.741, 73.248, 41.551, 40.943, 4.7, 5.721
7.773, 38.9, 44.4, 1.022, 1.147, 0.64, 0.625, 559.65, 6.9, 16, 72, 0.0, 17, 45, 0.0, 77, 28, 0.0, 0.0, 14, 14, 1, 3, 32, 12, 0.0, 0.0, 5, 4, 0.0, 0.0, 40, 0.0, 3, 5.6, 0.104, 8, 54, 73.61, 82.576, 46.08, 45.018, 4.2, 5.119
7.589, 38.3, 45.7, 1.018, 1.147, 0.637, 0.618, 614.74, 7.4, 16, 81, 0.0, 18, 49, 0.0, 86, 31, 0.0, 0.0, 15, 16, 2, 3, 37, 13, 0.0, 0.0, 6, 4, 0.0, 0.0, 44, 0.0, 3, 4.9, 0.081, 7, 59, 82.479, 92.905, 51.608, 50.093, 3.7, 5.328
8.096, 39.1, 42, 1.028, 1.148, 0.646, 0.637, 558.62, 8.7, 16, 69, 0.0, 18, 45, 0.0, 74, 27, 0.0, 0.0, 15, 12, 2, 3, 29, 13, 0.0, 0.0, 6, 4, 0.0, 0.0, 40, 0.0, 3, 5.8, 0.081, 6, 55, 70.945, 79.244, 44.563, 43.986, 4.3, 4.921
7.665, 36.1, 45.9, 1.025, 1.156, 0.625, 0.611, 467.55, 8.2, 10, 61, 0.0, 12, 36, 0.0, 64, 22, 0.0, 0.0, 9, 13, 2, 3, 28, 11, 0.0, 0.0, 5, 3, 0.0, 0.0, 33, 0.0, 3, 4.9, 0.125, 8, 43, 62.516, 70.536, 38.103, 37.25, 4.9, 5.041
7.809, 36.7, 45, 1.029, 1.154, 0.626, 0.616, 468.53, 6.7, 10, 60, 0.0, 12, 36, 0.0, 63, 22, 0.0, 0.0, 9, 13, 2, 3, 27, 11, 0.0, 0.0, 4, 4, 0.0, 0.0, 33, 0.0, 3, 6.7, 0.127, 8, 43, 61.741, 69.248, 37.551, 36.943, 5, 5.252
7.397, 35.8, 47.8, 1.019, 1.155, 0.621, 0.602, 495.61, 7.5, 10, 67, 0.0, 12, 38, 0.0, 70, 24, 0.0, 0.0, 9, 15, 2, 3, 32, 11, 0.0, 0.0, 5, 3, 0.0, 0.0, 35, 0.0, 3, 4.5, 0.129, 9, 45, 68.283, 77.367, 41.625, 40.303, 4.5, 5.119
7.097, 37, 47.8, 1, 1.142, 0.643, 0.61, 326.45, 13, 12, 46, 0.0, 13, 26, 0.0, 48, 17, 0.0, 0.0, 11, 6, 1, 0.0, 22, 7, 0.0, 0.0, 6, 1, 0.0, 0.0, 24, 0.0, 0.0, 2.2, 0.104, 5, 33, 46.007, 52.521, 29.58, 28.058, 0.0, 5.6
7.097, 37, 47.8, 1, 1.142, 0.643, 0.61, 326.45, 13, 12, 46, 0.0, 13, 26, 0.0, 48, 17, 0.0, 0.0, 11, 6, 1, 0.0, 22, 7, 0.0, 0.0, 6, 1, 0.0, 0.0, 24, 0.0, 0.0, 2.2, 0.104, 5, 33, 46.007, 52.521, 29.58, 28.058, 0.0, 5.8
7.465, 36.8, 47.1, 1.019, 1.152, 0.627, 0.607, 507.62, 7.4, 10, 68, 0.0, 13, 39, 0.0, 71, 25, 0.0, 0.0, 11, 14, 3, 3, 32, 11, 0.0, 0.0, 5, 3, 0.0, 0.0, 36, 0.0, 3, 4.4, 0.141, 10, 47, 69.283, 78.367, 42.625, 41.303, 4.4, 5.432
8.203, 35.8, 43.3, 1.042, 1.17, 0.618, 0.619, 549.58, 7.5, 10, 67, 0.0, 12, 41, 0.0, 70, 24, 0.0, 0.0, 9, 15, 2, 6, 29, 14, 0.0, 0.0, 5, 3, 0.0, 0.0, 38, 0.0, 6, 4.5, 0.129, 9, 48, 69.821, 78.386, 41.438, 41.453, 9, 5.602
7.855, 35.4, 44.6, 1.03, 1.158, 0.624, 0.615, 510.58, 9.2, 10, 65, 0.0, 13, 39, 0.0, 68, 23, 0.0, 0.0, 10, 13, 3, 3, 29, 13, 0.0, 0.0, 6, 4, 0.0, 0.0, 36, 0.0, 3, 6.2, 0.118, 8, 47, 66.945, 75.244, 40.563, 39.986, 4.6, 4.699
8.144, 34.3, 44.8, 1.032, 1.154, 0.633, 0.618, 545.65, 7.5, 10, 67, 0.0, 14, 40, 0.0, 70, 23, 0.0, 0.0, 9, 14, 4, 3, 30, 14, 1, 0.0, 5, 5, 0.0, 1, 37, 0.0, 3, 7.5, 0.129, 9, 49, 69.13, 77.29, 42.421, 41.393, 4.5, 4.602
7.423, 40, 46.7, 1.013, 1.143, 0.642, 0.618, 556.69, 5.3, 12, 75, 0.0, 15, 44, 0.0, 79, 30, 0.0, 0.0, 15, 15, 3, 3, 35, 10, 0.0, 0.0, 4, 3, 0.0, 0.0, 40, 0.0, 3, 4, 0.127, 10, 53, 75.948, 85.699, 48.143, 46.335, 4, 5.854
7.239, 36.5, 48.6, 1.014, 1.151, 0.624, 0.599, 535.68, 6.8, 10, 74, 0.0, 12, 42, 0.0, 78, 27, 0.0, 0.0, 9, 18, 2, 3, 36, 11, 0.0, 0.0, 5, 3, 0.0, 0.0, 38, 0.0, 3, 4.1, 0.115, 9, 49, 75.05, 85.197, 46.148, 44.357, 4.1, 5.387
7.471, 40, 46.2, 1.011, 1.147, 0.645, 0.621, 485.61, 7.7, 16, 65, 0.0, 17, 39, 0.0, 69, 26, 0.0, 0.0, 14, 12, 1, 3, 30, 9, 0.0, 0.0, 5, 1, 0.0, 0.0, 35, 0.0, 3, 1.5, 0.087, 6, 48, 65.745, 74.533, 41.955, 40.347, 4.6, 5
7.242, 38.4, 47.9, 1.008, 1.149, 0.637, 0.609, 528.69, 8.2, 16, 73, 0.0, 17, 42, 0.0, 77, 28, 0.0, 0.0, 14, 14, 1, 3, 35, 10, 0.0, 0.0, 6, 1, 0.0, 0.0, 38, 0.0, 3, 1.4, 0.091, 7, 51, 73.614, 83.862, 46.484, 44.422, 4.1, 4.921
7.747, 39.3, 44.3, 1.018, 1.151, 0.647, 0.628, 472.57, 9.8, 16, 61, 0.0, 17, 38, 0.0, 65, 24, 0.0, 0.0, 13, 11, 1, 3, 27, 10, 0.0, 0.0, 6, 1, 0.0, 0.0, 34, 0.0, 3, 1.6, 0.092, 6, 47, 62.079, 70.201, 39.438, 38.315, 4.9, 4.444
7.603, 39.1, 45.3, 1.015, 1.15, 0.644, 0.623, 486.6, 9.4, 16, 64, 0.0, 17, 39, 0.0, 68, 25, 0.0, 0.0, 13, 12, 1, 3, 29, 10, 0.0, 0.0, 6, 1, 0.0, 0.0, 35, 0.0, 3, 1.6, 0.088, 6, 48, 64.963, 73.616, 41.199, 39.841, 4.7, 4.569
7.603, 39.1, 45.3, 1.015, 1.15, 0.644, 0.623, 486.6, 9.4, 16, 64, 0.0, 17, 39, 0.0, 68, 25, 0.0, 0.0, 13, 12, 1, 3, 29, 10, 0.0, 0.0, 6, 1, 0.0, 0.0, 35, 0.0, 3, 1.6, 0.088, 6, 48, 64.963, 73.616, 41.199, 39.841, 4.7, 4.62
7.597, 38.2, 45.6, 1.017, 1.151, 0.638, 0.619, 516.63, 8.8, 16, 68, 0.0, 17, 41, 0.0, 72, 26, 0.0, 0.0, 13, 13, 1, 3, 31, 11, 0.0, 0.0, 6, 2, 0.0, 0.0, 37, 0.0, 3, 2.9, 0.097, 7, 50, 69.174, 78.241, 43.415, 42.083, 4.4, 4.921
7.472, 38.8, 46.3, 1.013, 1.15, 0.641, 0.617, 500.63, 9, 16, 67, 0.0, 17, 40, 0.0, 71, 26, 0.0, 0.0, 13, 13, 1, 3, 31, 10, 0.0, 0.0, 6, 1, 0.0, 0.0, 36, 0.0, 3, 1.5, 0.085, 6, 49, 67.847, 77.031, 42.961, 41.368, 4.5, 4.745
